image,noise_type,strength_luma,strength_chroma,psnr,ssim,output_path
airplaneU2.bmp,salt_pepper,0.1,0.1,31.73349838817469,0.09345723026247085,output/Additional\airplaneU2_salt_pepper_luma0.10_chroma0.10.png
airplaneU2.bmp,salt_pepper,0.1,0.5,35.664117831940935,0.06895398749595635,output/Additional\airplaneU2_salt_pepper_luma0.10_chroma0.50.png
airplaneU2.bmp,salt_pepper,0.1,0.9,35.56743212121783,0.06889271762450362,output/Additional\airplaneU2_salt_pepper_luma0.10_chroma0.90.png
airplaneU2.bmp,salt_pepper,0.5,0.1,27.92966517644151,0.6167014345675969,output/Additional\airplaneU2_salt_pepper_luma0.50_chroma0.10.png
airplaneU2.bmp,salt_pepper,0.5,0.5,27.9361467331288,0.6178145873165628,output/Additional\airplaneU2_salt_pepper_luma0.50_chroma0.50.png
airplaneU2.bmp,salt_pepper,0.5,0.9,33.70077608297293,0.06456746678346074,output/Additional\airplaneU2_salt_pepper_luma0.50_chroma0.90.png
airplaneU2.bmp,salt_pepper,0.9,0.1,27.892012682768126,0.6083529720633938,output/Additional\airplaneU2_salt_pepper_luma0.90_chroma0.10.png
airplaneU2.bmp,salt_pepper,0.9,0.5,27.89959613308369,0.6097947181248206,output/Additional\airplaneU2_salt_pepper_luma0.90_chroma0.50.png
airplaneU2.bmp,salt_pepper,0.9,0.9,27.90747254462454,0.6114452168223872,output/Additional\airplaneU2_salt_pepper_luma0.90_chroma0.90.png
airplaneU2.bmp,gaussian,0.1,0.1,33.665054361402554,0.7217964133753999,output/Additional\airplaneU2_gaussian_luma0.10_chroma0.10.png
airplaneU2.bmp,gaussian,0.1,0.5,33.75166432010788,0.7264240352010091,output/Additional\airplaneU2_gaussian_luma0.10_chroma0.50.png
airplaneU2.bmp,gaussian,0.1,0.9,33.79129503117095,0.7285375657325273,output/Additional\airplaneU2_gaussian_luma0.10_chroma0.90.png
airplaneU2.bmp,gaussian,0.5,0.1,32.964668776828255,0.6871614136201024,output/Additional\airplaneU2_gaussian_luma0.50_chroma0.10.png
airplaneU2.bmp,gaussian,0.5,0.5,33.023632513847076,0.6893570040390248,output/Additional\airplaneU2_gaussian_luma0.50_chroma0.50.png
airplaneU2.bmp,gaussian,0.5,0.9,33.09599000890917,0.6922552581510847,output/Additional\airplaneU2_gaussian_luma0.50_chroma0.90.png
airplaneU2.bmp,gaussian,0.9,0.1,32.695837732701925,0.6776190856006175,output/Additional\airplaneU2_gaussian_luma0.90_chroma0.10.png
airplaneU2.bmp,gaussian,0.9,0.5,32.72458036638736,0.6785329015834366,output/Additional\airplaneU2_gaussian_luma0.90_chroma0.50.png
airplaneU2.bmp,gaussian,0.9,0.9,32.77821478969339,0.680159342252332,output/Additional\airplaneU2_gaussian_luma0.90_chroma0.90.png
cablecar.bmp,salt_pepper,0.1,0.1,30.21851795303421,0.23912294941320467,output/Additional\cablecar_salt_pepper_luma0.10_chroma0.10.png
cablecar.bmp,salt_pepper,0.1,0.5,29.984245252623865,0.23881395066367372,output/Additional\cablecar_salt_pepper_luma0.10_chroma0.50.png
cablecar.bmp,salt_pepper,0.1,0.9,29.96256346843299,0.2379635236352202,output/Additional\cablecar_salt_pepper_luma0.10_chroma0.90.png
cablecar.bmp,salt_pepper,0.5,0.1,28.312128266407,0.5634476926144157,output/Additional\cablecar_salt_pepper_luma0.50_chroma0.10.png
cablecar.bmp,salt_pepper,0.5,0.5,28.256217491967934,0.5644255656535504,output/Additional\cablecar_salt_pepper_luma0.50_chroma0.50.png
cablecar.bmp,salt_pepper,0.5,0.9,28.235185054542914,0.5663329077147807,output/Additional\cablecar_salt_pepper_luma0.50_chroma0.90.png
cablecar.bmp,salt_pepper,0.9,0.1,28.187335657518048,0.5281028288869047,output/Additional\cablecar_salt_pepper_luma0.90_chroma0.10.png
cablecar.bmp,salt_pepper,0.9,0.5,28.188359413229122,0.5286660298642483,output/Additional\cablecar_salt_pepper_luma0.90_chroma0.50.png
cablecar.bmp,salt_pepper,0.9,0.9,28.188388661822252,0.5310731366000446,output/Additional\cablecar_salt_pepper_luma0.90_chroma0.90.png
cablecar.bmp,gaussian,0.1,0.1,31.533294096866452,0.8026906129645934,output/Additional\cablecar_gaussian_luma0.10_chroma0.10.png
cablecar.bmp,gaussian,0.1,0.5,31.069731077713108,0.8055753254222536,output/Additional\cablecar_gaussian_luma0.10_chroma0.50.png
cablecar.bmp,gaussian,0.1,0.9,31.00002268522742,0.8093203009967037,output/Additional\cablecar_gaussian_luma0.10_chroma0.90.png
cablecar.bmp,gaussian,0.5,0.1,29.961340688955154,0.5992736958842464,output/Additional\cablecar_gaussian_luma0.50_chroma0.10.png
cablecar.bmp,gaussian,0.5,0.5,29.89923246339726,0.6004861519572892,output/Additional\cablecar_gaussian_luma0.50_chroma0.50.png
cablecar.bmp,gaussian,0.5,0.9,29.87529389579425,0.60309530677825,output/Additional\cablecar_gaussian_luma0.50_chroma0.90.png
cablecar.bmp,gaussian,0.9,0.1,29.47884237467385,0.5551489830586648,output/Additional\cablecar_gaussian_luma0.90_chroma0.10.png
cablecar.bmp,gaussian,0.9,0.5,29.47352947632,0.5562493116435485,output/Additional\cablecar_gaussian_luma0.90_chroma0.50.png
cablecar.bmp,gaussian,0.9,0.9,29.481833904517085,0.5578254119192212,output/Additional\cablecar_gaussian_luma0.90_chroma0.90.png
cornfield.bmp,salt_pepper,0.1,0.1,29.51066119504789,0.3600789884906692,output/Additional\cornfield_salt_pepper_luma0.10_chroma0.10.png
cornfield.bmp,salt_pepper,0.1,0.5,29.36681049457418,0.35937355069037213,output/Additional\cornfield_salt_pepper_luma0.10_chroma0.50.png
cornfield.bmp,salt_pepper,0.1,0.9,29.308488407382217,0.3585655365145043,output/Additional\cornfield_salt_pepper_luma0.10_chroma0.90.png
cornfield.bmp,salt_pepper,0.5,0.1,28.977192414667417,0.5069810767035341,output/Additional\cornfield_salt_pepper_luma0.50_chroma0.10.png
cornfield.bmp,salt_pepper,0.5,0.5,28.99476706376813,0.5083773382449255,output/Additional\cornfield_salt_pepper_luma0.50_chroma0.50.png
cornfield.bmp,salt_pepper,0.5,0.9,29.00284911231261,0.5101296107228834,output/Additional\cornfield_salt_pepper_luma0.50_chroma0.90.png
cornfield.bmp,salt_pepper,0.9,0.1,28.88032274593788,0.4584852003589816,output/Additional\cornfield_salt_pepper_luma0.90_chroma0.10.png
cornfield.bmp,salt_pepper,0.9,0.5,28.90109401233111,0.459317587678832,output/Additional\cornfield_salt_pepper_luma0.90_chroma0.50.png
cornfield.bmp,salt_pepper,0.9,0.9,28.936378352281714,0.4606002434825242,output/Additional\cornfield_salt_pepper_luma0.90_chroma0.90.png
cornfield.bmp,gaussian,0.1,0.1,31.02723675628383,0.8215371116058545,output/Additional\cornfield_gaussian_luma0.10_chroma0.10.png
cornfield.bmp,gaussian,0.1,0.5,30.81823644927088,0.8245509619745907,output/Additional\cornfield_gaussian_luma0.10_chroma0.50.png
cornfield.bmp,gaussian,0.1,0.9,30.701621962867026,0.8272372982383139,output/Additional\cornfield_gaussian_luma0.10_chroma0.90.png
cornfield.bmp,gaussian,0.5,0.1,29.804323767652853,0.5315325667509555,output/Additional\cornfield_gaussian_luma0.50_chroma0.10.png
cornfield.bmp,gaussian,0.5,0.5,29.78775766359466,0.5331353074746479,output/Additional\cornfield_gaussian_luma0.50_chroma0.50.png
cornfield.bmp,gaussian,0.5,0.9,29.77803783221946,0.5355468652051416,output/Additional\cornfield_gaussian_luma0.50_chroma0.90.png
cornfield.bmp,gaussian,0.9,0.1,29.49316123509483,0.4719385450816605,output/Additional\cornfield_gaussian_luma0.90_chroma0.10.png
cornfield.bmp,gaussian,0.9,0.5,29.496755256922356,0.47297497832716195,output/Additional\cornfield_gaussian_luma0.90_chroma0.50.png
cornfield.bmp,gaussian,0.9,0.9,29.516082057500693,0.4745968152404076,output/Additional\cornfield_gaussian_luma0.90_chroma0.90.png
fruits.bmp,salt_pepper,0.1,0.1,29.987205078777123,0.20844423471336984,output/Additional\fruits_salt_pepper_luma0.10_chroma0.10.png
fruits.bmp,salt_pepper,0.1,0.5,29.640677233682126,0.20798283923541244,output/Additional\fruits_salt_pepper_luma0.10_chroma0.50.png
fruits.bmp,salt_pepper,0.1,0.9,29.541797852833184,0.20679332539959136,output/Additional\fruits_salt_pepper_luma0.10_chroma0.90.png
fruits.bmp,salt_pepper,0.5,0.1,29.117184784094825,0.5943219962038097,output/Additional\fruits_salt_pepper_luma0.50_chroma0.10.png
fruits.bmp,salt_pepper,0.5,0.5,29.016529861683136,0.595175035865042,output/Additional\fruits_salt_pepper_luma0.50_chroma0.50.png
fruits.bmp,salt_pepper,0.5,0.9,28.998548717257048,0.5976169222852302,output/Additional\fruits_salt_pepper_luma0.50_chroma0.90.png
fruits.bmp,salt_pepper,0.9,0.1,28.962565610253627,0.5691186644963574,output/Additional\fruits_salt_pepper_luma0.90_chroma0.10.png
fruits.bmp,salt_pepper,0.9,0.5,28.868990533833077,0.5698432062152324,output/Additional\fruits_salt_pepper_luma0.90_chroma0.50.png
fruits.bmp,salt_pepper,0.9,0.9,28.850066534129006,0.5724783568266749,output/Additional\fruits_salt_pepper_luma0.90_chroma0.90.png
fruits.bmp,gaussian,0.1,0.1,31.839228956207016,0.7847999886993866,output/Additional\fruits_gaussian_luma0.10_chroma0.10.png
fruits.bmp,gaussian,0.1,0.5,31.10656311028815,0.7869598273483548,output/Additional\fruits_gaussian_luma0.10_chroma0.50.png
fruits.bmp,gaussian,0.1,0.9,30.851204296803843,0.7907810656274524,output/Additional\fruits_gaussian_luma0.10_chroma0.90.png
fruits.bmp,gaussian,0.5,0.1,30.260414775791716,0.6360238727755656,output/Additional\fruits_gaussian_luma0.50_chroma0.10.png
fruits.bmp,gaussian,0.5,0.5,30.068039131180086,0.6372960849111562,output/Additional\fruits_gaussian_luma0.50_chroma0.50.png
fruits.bmp,gaussian,0.5,0.9,29.964316566882406,0.6398800595666616,output/Additional\fruits_gaussian_luma0.50_chroma0.90.png
fruits.bmp,gaussian,0.9,0.1,29.76440685923949,0.6025732019948763,output/Additional\fruits_gaussian_luma0.90_chroma0.10.png
fruits.bmp,gaussian,0.9,0.5,29.700415222608704,0.6042868131689791,output/Additional\fruits_gaussian_luma0.90_chroma0.50.png
fruits.bmp,gaussian,0.9,0.9,29.6278456460638,0.6073215261806213,output/Additional\fruits_gaussian_luma0.90_chroma0.90.png
girl.bmp,salt_pepper,0.1,0.1,30.335477383858386,0.24612840135636047,output/Additional\girl_salt_pepper_luma0.10_chroma0.10.png
girl.bmp,salt_pepper,0.1,0.5,29.96509246427111,0.24580132709686953,output/Additional\girl_salt_pepper_luma0.10_chroma0.50.png
girl.bmp,salt_pepper,0.1,0.9,29.871106086051576,0.2452464530296624,output/Additional\girl_salt_pepper_luma0.10_chroma0.90.png
girl.bmp,salt_pepper,0.5,0.1,28.689330965030674,0.5957149183696558,output/Additional\girl_salt_pepper_luma0.50_chroma0.10.png
girl.bmp,salt_pepper,0.5,0.5,28.579424733216563,0.5963549262447713,output/Additional\girl_salt_pepper_luma0.50_chroma0.50.png
