image,noise_type,strength_luma,strength_chroma,psnr,ssim,output_path
finger.pgm,salt_pepper,0.1,0.1,28.465259800697858,0.3931173778413943,output/Fingerprint\finger_salt_pepper_luma0.10_chroma0.10.png
finger.pgm,salt_pepper,0.1,0.5,35.86192773146357,0.412437856879807,output/Fingerprint\finger_salt_pepper_luma0.10_chroma0.50.png
finger.pgm,salt_pepper,0.1,0.9,36.13677824953656,0.4119544959593672,output/Fingerprint\finger_salt_pepper_luma0.10_chroma0.90.png
finger.pgm,salt_pepper,0.5,0.1,28.058685348373405,0.08053386984288037,output/Fingerprint\finger_salt_pepper_luma0.50_chroma0.10.png
finger.pgm,salt_pepper,0.5,0.5,28.061798435369386,0.08139697866460863,output/Fingerprint\finger_salt_pepper_luma0.50_chroma0.50.png
finger.pgm,salt_pepper,0.5,0.9,33.21126007925002,0.4143060676511343,output/Fingerprint\finger_salt_pepper_luma0.50_chroma0.90.png
finger.pgm,salt_pepper,0.9,0.1,28.03849692591248,0.07421812867224108,output/Fingerprint\finger_salt_pepper_luma0.90_chroma0.10.png
finger.pgm,salt_pepper,0.9,0.5,28.06058284013114,0.07472826726846862,output/Fingerprint\finger_salt_pepper_luma0.90_chroma0.50.png
finger.pgm,salt_pepper,0.9,0.9,28.061823437769394,0.07474867977305506,output/Fingerprint\finger_salt_pepper_luma0.90_chroma0.90.png
finger.pgm,gaussian,0.1,0.1,28.448820545279844,0.4892010654420534,output/Fingerprint\finger_gaussian_luma0.10_chroma0.10.png
finger.pgm,gaussian,0.1,0.5,28.459368081754775,0.49388562121654556,output/Fingerprint\finger_gaussian_luma0.10_chroma0.50.png
finger.pgm,gaussian,0.1,0.9,28.47304629865897,0.5022640645817341,output/Fingerprint\finger_gaussian_luma0.10_chroma0.90.png
finger.pgm,gaussian,0.5,0.1,28.128077974503004,0.08541275732878896,output/Fingerprint\finger_gaussian_luma0.50_chroma0.10.png
finger.pgm,gaussian,0.5,0.5,28.12752170751188,0.08573784853060934,output/Fingerprint\finger_gaussian_luma0.50_chroma0.50.png
finger.pgm,gaussian,0.5,0.9,28.128368056269704,0.08775012928893913,output/Fingerprint\finger_gaussian_luma0.50_chroma0.90.png
finger.pgm,gaussian,0.9,0.1,28.111578118932258,0.076549140726087,output/Fingerprint\finger_gaussian_luma0.90_chroma0.10.png
finger.pgm,gaussian,0.9,0.5,28.104082751321393,0.07674066455933228,output/Fingerprint\finger_gaussian_luma0.90_chroma0.50.png
finger.pgm,gaussian,0.9,0.9,28.109492258814342,0.07797584068927078,output/Fingerprint\finger_gaussian_luma0.90_chroma0.90.png
fingerprint1.pgm,salt_pepper,0.1,0.1,29.04404651783897,0.5876888607209039,output/Fingerprint\fingerprint1_salt_pepper_luma0.10_chroma0.10.png
fingerprint1.pgm,salt_pepper,0.1,0.5,35.98100287286594,0.4423705948054918,output/Fingerprint\fingerprint1_salt_pepper_luma0.10_chroma0.50.png
fingerprint1.pgm,salt_pepper,0.1,0.9,36.022194172696004,0.4409931007583782,output/Fingerprint\fingerprint1_salt_pepper_luma0.10_chroma0.90.png
fingerprint1.pgm,salt_pepper,0.5,0.1,27.93738695896739,0.15242465359119872,output/Fingerprint\fingerprint1_salt_pepper_luma0.50_chroma0.10.png
fingerprint1.pgm,salt_pepper,0.5,0.5,27.938347665117426,0.15419935312295976,output/Fingerprint\fingerprint1_salt_pepper_luma0.50_chroma0.50.png
fingerprint1.pgm,salt_pepper,0.5,0.9,34.392537644513645,0.45299810782902006,output/Fingerprint\fingerprint1_salt_pepper_luma0.50_chroma0.90.png
fingerprint1.pgm,salt_pepper,0.9,0.1,27.916079054228614,0.10324977505055824,output/Fingerprint\fingerprint1_salt_pepper_luma0.90_chroma0.10.png
fingerprint1.pgm,salt_pepper,0.9,0.5,27.91763246328419,0.10404287808274522,output/Fingerprint\fingerprint1_salt_pepper_luma0.90_chroma0.50.png
fingerprint1.pgm,salt_pepper,0.9,0.9,27.921990019505717,0.1056447936132527,output/Fingerprint\fingerprint1_salt_pepper_luma0.90_chroma0.90.png
fingerprint1.pgm,gaussian,0.1,0.1,29.29411273912024,0.8488511518118673,output/Fingerprint\fingerprint1_gaussian_luma0.10_chroma0.10.png
fingerprint1.pgm,gaussian,0.1,0.5,29.314963302642425,0.8510716432512596,output/Fingerprint\fingerprint1_gaussian_luma0.10_chroma0.50.png
