image,noise_type,denoising_method,strength,mu,psnr,ssim,output_path
airplaneU2.bmp,salt_pepper,TV,0.1,0.001,31.91832008628882,0.05569950918712618,Testing2\airplaneU2_salt_pepper_s0.1_m0.001_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.1,0.001,31.356267027542263,0.06323334835313776,Testing2\airplaneU2_salt_pepper_s0.1_m0.001_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.2,0.002,30.864252989677436,0.048100815744592886,Testing2\airplaneU2_salt_pepper_s0.2_m0.002_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.2,0.002,31.58232195121929,0.060555237979725916,Testing2\airplaneU2_salt_pepper_s0.2_m0.002_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.3,0.003,30.73015407448554,0.039842261358761434,Testing2\airplaneU2_salt_pepper_s0.3_m0.003_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.3,0.003,31.819063135167124,0.058431189891803244,Testing2\airplaneU2_salt_pepper_s0.3_m0.003_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.4,0.004,30.620253395651048,0.03450874633089226,Testing2\airplaneU2_salt_pepper_s0.4_m0.004_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.4,0.004,32.00937706746516,0.056955929464335454,Testing2\airplaneU2_salt_pepper_s0.4_m0.004_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.5,0.005,30.544389241181346,0.0311200089201625,Testing2\airplaneU2_salt_pepper_s0.5_m0.005_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.5,0.005,32.0840998884629,0.055843973921169514,Testing2\airplaneU2_salt_pepper_s0.5_m0.005_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.6,0.006,30.455733027227176,0.028175003067845934,Testing2\airplaneU2_salt_pepper_s0.6_m0.006_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.6,0.006,32.20590114823139,0.05460599458534622,Testing2\airplaneU2_salt_pepper_s0.6_m0.006_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.7000000000000001,0.007,30.424004416454604,0.026599955823851724,Testing2\airplaneU2_salt_pepper_s0.7_m0.007_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.7000000000000001,0.007,32.2887794260633,0.05364503229550517,Testing2\airplaneU2_salt_pepper_s0.7_m0.007_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.8,0.008,30.40125659441309,0.02527329873143271,Testing2\airplaneU2_salt_pepper_s0.8_m0.008_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.8,0.008,32.41218431037207,0.052903479579255404,Testing2\airplaneU2_salt_pepper_s0.8_m0.008_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,0.9000000000000001,0.009000000000000001,30.393324024441142,0.024382393481829738,Testing2\airplaneU2_salt_pepper_s0.9_m0.009_TV.png
airplaneU2.bmp,salt_pepper,Moreau-Yosida,0.9000000000000001,0.009000000000000001,32.46867982213507,0.05236542299115153,Testing2\airplaneU2_salt_pepper_s0.9_m0.009_MoreauYosida.png
airplaneU2.bmp,salt_pepper,TV,1.0000000000000002,0.010000000000000002,30.359314319498974,0.023169517164814486,Testing2\airplaneU2_salt_pepper_s1.0_m0.010_TV.png
